submission,overall_rate,min_rate,worst_type,score
370769_TheFangs,0.95,0.87,0,0.91
370770_TheFangs,0.928,0.83,4,0.879
371329_TheFangs,0.942,0.88,1,0.911
371331_TheFangs,0.952,0.9,0,0.926
371332_TheFangs,0.952,0.88,3,0.916
371333_TheFangs,0.968,0.94,0,0.954
371338_TheFangs,0.942,0.87,2,0.906
371840_TheFangs,0.968,0.94,1,0.954
371841_TheFangs,0.958,0.91,1,0.934
371842_TheFangs,0.934,0.83,1,0.882
371843_TheFangs,0.944,0.82,4,0.882
371844_TheFangs,0.934,0.86,1,0.897
374149_TheFangs,0.666,0.61,3,0.638
374310_TheFangs,0.928,0.84,2,0.884
374311_TheFangs,0.926,0.87,3,0.898
374312_TheFangs,0.936,0.83,2,0.883
374333_TheFangs,0.942,0.9,0,0.921
374338_TheFangs,0.952,0.9,0,0.926
374621_TheFangs,0.944,0.87,1,0.907
374622_TheFangs,0.95,0.86,1,0.905
374623_TheFangs,0.938,0.85,4,0.894
374624_TheFangs,0.934,0.83,0,0.882
375405_TheFangs,0.948,0.9,4,0.924
375438_TheFangs,0.932,0.87,2,0.901
375465_TheFangs,0.918,0.87,0,0.894
376888_TheFangs,0.82,0.7,4,0.76
378795_TheFangs,0.928,0.87,2,0.899
378803_TheFangs,0.932,0.84,3,0.886
378811_TheFangs,0.926,0.86,3,0.893
384830_aerove,0.216,0.15,1,0.183
385491_aerove,0.256,0.21,2,0.233
392377_utsab,0.0,0.0,0,0.0
393889_alluding123,0.086,0.07,4,0.078
394734_utsab,0.258,0.23,0,0.244
394879_utsab,0.304,0.25,2,0.277
395008_alluding123,0.056,0.03,1,0.043
395424_rewardisenough,0.1,0.07,0,0.085
395499_rewardisenough,0.0,0.0,0,0.0
396281_rewardisenough,0.012,0.0,0,0.006
396502_rewardisenough,0.0,0.0,0,0.0
396496_utsab,0.372,0.29,2,0.331
397071_alluding123,0.112,0.05,4,0.081
397764_rewardisenough,0.118,0.09,4,0.104
397798_rewardisenough,0.0,0.0,0,0.0
397797_utsab,0.494,0.39,3,0.442
398098_TheFangs,0.93,0.85,3,0.89
398104_TheFangs,0.91,0.85,4,0.88
398113_TheFangs,0.87,0.79,4,0.83
398134_TheFangs,0.93,0.86,2,0.895
398135_TheFangs,0.948,0.86,1,0.904
398166_TheFangs,0.948,0.89,0,0.919
398169_TheFangs,0.9,0.87,2,0.885
398171_TheFangs,0.91,0.77,2,0.84
398175_TheFangs,0.89,0.81,2,0.85
398244_TheFangs,0.956,0.89,1,0.923
399187_alluding123,0.334,0.2,3,0.267
401179_TheFangs,0.796,0.39,3,0.593
401230_TheFangs,0.83,0.44,3,0.635
401279_TheFangs,0.828,0.41,2,0.619
401653_TheFangs,0.836,0.42,0,0.628
403175_alluding123,0.242,0.2,0,0.221
404259_alluding123,0.802,0.39,3,0.596
406439_alluding123,0.794,0.32,0,0.557
407981_drumplstiltskin,0.512,0.27,4,0.391
411514_TheFangs,0.954,0.87,3,0.912
412192_TheFangs,0.846,0.61,3,0.728
412230_TheFangs,0.828,0.67,4,0.749
412282_TheFangs,0.848,0.64,1,0.744
412967_TheFangs,0.878,0.65,4,0.764
414469_alluding123,0.296,0.21,4,0.253
415204_TheFangs,0.714,0.17,1,0.442
415559_TheFangs,0.742,0.19,4,0.466
417033_alluding123,0.838,0.57,2,0.704
417856_alluding123,0.864,0.65,3,0.757
418030_TheFangs,0.912,0.81,0,0.861
418039_alluding123,0.872,0.61,0,0.741
418078_TheFangs,0.89,0.74,4,0.815
418175_TheFangs,0.914,0.8,0,0.857
418202_TheFangs,0.89,0.72,2,0.805
418210_TheFangs,0.924,0.82,1,0.872
418252_TheFangs,0.906,0.75,3,0.828
418307_TheFangs,0.92,0.76,1,0.84
418612_alluding123,0.818,0.37,2,0.594
418616_TheFangs,0.812,0.64,1,0.726
419061_TheFangs,0.828,0.68,2,0.754
419918_TheFangs,0.852,0.69,2,0.771
419960_utsab77,0.546,0.21,4,0.378
419993_utsab77,0.496,0.22,4,0.358
420058_alluding123,0.804,0.26,1,0.532
420215_alluding123,0.818,0.28,1,0.549
420263_utsab77,0.416,0.06,3,0.238
420361_utsab77,0.428,0.11,3,0.269
422637_drumplstiltskin,0.684,0.29,3,0.487
424378_drumplstiltskin,0.698,0.31,3,0.504
424461_drumplstiltskin,0.76,0.32,2,0.54
425047_drumplstiltskin,0.844,0.39,3,0.617
425091_drumplstiltskin,0.846,0.37,0,0.608
425136_drumplstiltskin,0.752,0.48,0,0.616
SuperMice_natureCNN,0.26,0.23,1,0.245
SuperMice2_ResNet,0.74,0.49,2,0.615
SuperMice3_simpleCNN,0.802,0.45,1,0.626
